cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,prtvtgb,gndr,agea,eduyrs,inwtm
GB,ESS1-6e01,1,26.11.2014,136313,ESS6e02_1,6,2.1,315069,1.0105621232,0.973118908,2.282115223,66,2,15,10,44
GB,ESS1-6e01,1,26.11.2014,136314,ESS6e02_1,6,2.1,315085,0.5052810616,0.5674148831,2.282115223,7,1,54,11,89
GB,ESS1-6e01,1,26.11.2014,136315,ESS6e02_1,6,2.1,315093,1.5158431545,1.7022446134,2.282115223,2,1,43,12,48
GB,ESS1-6e01,1,26.11.2014,136316,ESS6e02_1,6,2.1,315127,1.0105621232,0.8176040874,2.282115223,2,2,42,12,30
GB,ESS1-6e01,1,26.11.2014,136317,ESS6e02_1,6,2.1,315135,0.5052810616,0.4917370086,2.282115223,66,2,56,12,29
GB,ESS1-6e01,1,26.11.2014,136318,ESS6e02_1,6,2.1,315168,0.5052810616,0.4088020441,2.282115223,3,2,45,12,74
GB,ESS1-6e01,1,26.11.2014,136319,ESS6e02_1,6,2.1,315176,1.0105621232,0.9834740162,2.282115223,1,2,70,15,35
GB,ESS1-6e01,1,26.11.2014,136320,ESS6e02_1,6,2.1,315184,1.0105621232,0.9963032803,2.282115223,66,1,75,10,52
GB,ESS1-6e01,1,26.11.2014,136321,ESS6e02_1,6,2.1,315192,1.0105621232,0.9834740162,2.282115223,4,2,76,10,40
GB,ESS1-6e01,1,26.11.2014,136322,ESS6e02_1,6,2.1,316018,1.0105621623,0.9963033188,2.282115223,4,1,72,10,35
GB,ESS1-6e01,1,26.11.2014,136323,ESS6e02_1,6,2.1,316067,1.0105621623,1.1348298089,2.282115223,66,1,41,17,45
GB,ESS1-6e01,1,26.11.2014,136324,ESS6e02_1,6,2.1,316075,0.5052810812,0.4917370271,2.282115223,2,2,67,10,47
GB,ESS1-6e01,1,26.11.2014,136325,ESS6e02_1,6,2.1,316083,1.0105621623,0.9963033188,2.282115223,3,1,57,16,39
GB,ESS1-6e01,1,26.11.2014,136326,ESS6e02_1,6,2.1,316133,0.5052810812,0.4865594728,2.282115223,66,2,32,12,35
GB,ESS1-6e01,1,26.11.2014,136327,ESS6e02_1,6,2.1,316141,1.5158432132,1.7022446796,2.282115223,2,1,45,11,38
GB,ESS1-6e01,1,26.11.2014,136328,ESS6e02_1,6,2.1,316158,0.5052810812,0.4917370271,2.282115223,4,2,82,9,31
GB,ESS1-6e01,1,26.11.2014,136329,ESS6e02_1,6,2.1,316174,1.0105621623,0.9731189455,2.282115223,66,2,15,10,24
GB,ESS1-6e01,1,26.11.2014,136330,ESS6e02_1,6,2.1,316182,1.0105621623,0.9834740542,2.282115223,3,2,56,11,44
GB,ESS1-6e01,1,26.11.2014,136331,ESS6e02_1,6,2.1,316190,1.0105621623,0.9963033188,2.282115223,2,1,61,10,42
GB,ESS1-6e01,1,26.11.2014,136332,ESS6e02_1,6,2.1,316208,1.0105621623,0.9834740542,2.282115223,2,2,63,10,34
GB,ESS1-6e01,1,26.11.2014,136333,ESS6e02_1,6,2.1,317016,0.5052810781,0.4981516564,2.282115223,4,1,60,20,59
GB,ESS1-6e01,1,26.11.2014,136334,ESS6e02_1,6,2.1,317024,1.0105621561,1.1348298021,2.282115223,2,1,48,15,40
GB,ESS1-6e01,1,26.11.2014,136335,ESS6e02_1,6,2.1,317032,1.0105621561,0.9834740483,2.282115223,4,2,64,15,57
GB,ESS1-6e01,1,26.11.2014,136336,ESS6e02_1,6,2.1,317057,0.5052810781,0.4088020571,2.282115223,66,2,39,19,68
GB,ESS1-6e01,1,26.11.2014,136337,ESS6e02_1,6,2.1,317123,1.0105621561,0.9963033129,2.282115223,2,1,67,15,56
GB,ESS1-6e01,1,26.11.2014,136338,ESS6e02_1,6,2.1,317149,1.0105621561,0.9963033129,2.282115223,4,1,56,17,60
GB,ESS1-6e01,1,26.11.2014,136339,ESS6e02_1,6,2.1,317156,1.5158432038,1.2264061469,2.282115223,88,2,42,10,60
GB,ESS1-6e01,1,26.11.2014,136340,ESS6e02_1,6,2.1,318030,0.5052810742,0.4917370203,2.282115223,1,2,75,9,82
GB,ESS1-6e01,1,26.11.2014,136341,ESS6e02_1,6,2.1,318055,0.5052810742,0.4917370203,2.282115223,2,2,90,9,41
GB,ESS1-6e01,1,26.11.2014,136342,ESS6e02_1,6,2.1,318071,1.0105621484,0.9834740405,2.282115223,2,2,70,9,51
GB,ESS1-6e01,1,26.11.2014,136343,ESS6e02_1,6,2.1,318089,1.5158431923,1.7022446561,2.282115223,88,1,47,16,46
GB,ESS1-6e01,1,26.11.2014,136344,ESS6e02_1,6,2.1,318105,1.0105621484,0.996303305,2.282115223,2,1,81,9,70
GB,ESS1-6e01,1,26.11.2014,136345,ESS6e02_1,6,2.1,318147,0.5052810742,0.4917370203,2.282115223,66,2,87,9,59
GB,ESS1-6e01,1,26.11.2014,136346,ESS6e02_1,6,2.1,318154,1.0105621484,0.996303305,2.282115223,88,1,61,10,36
GB,ESS1-6e01,1,26.11.2014,136347,ESS6e02_1,6,2.1,318162,1.0105621484,0.996303305,2.282115223,66,1,60,10,61
GB,ESS1-6e01,1,26.11.2014,136348,ESS6e02_1,6,2.1,318170,1.0105621484,0.996303305,2.282115223,66,1,68,10,38
GB,ESS1-6e01,1,26.11.2014,136349,ESS6e02_1,6,2.1,319046,0.5052811124,0.4088020846,2.282115223,2,2,38,11,41
GB,ESS1-6e01,1,26.11.2014,136350,ESS6e02_1,6,2.1,319053,1.0105622247,0.9963033809,2.282115223,1,1,66,17,43
GB,ESS1-6e01,1,26.11.2014,136351,ESS6e02_1,6,2.1,319087,0.5052811124,0.4088020846,2.282115223,2,2,43,11,41
GB,ESS1-6e01,1,26.11.2014,136352,ESS6e02_1,6,2.1,319103,0.5052811124,0.4917370572,2.282115223,2,2,79,9,33
GB,ESS1-6e01,1,26.11.2014,136353,ESS6e02_1,6,2.1,319111,1.5158433067,1.7022447852,2.282115223,2,1,41,13,51
